iter	Logloss
0	0.5586348107
1	0.4789400541
2	0.4415246099
3	0.4190075054
4	0.4037517167
5	0.3978372007
6	0.38785582
7	0.3876304322
8	0.3826548949
9	0.3788618646
10	0.3738707314
11	0.3664265394
12	0.3623681517
13	0.3579381922
14	0.3518222488
15	0.3480744703
16	0.3471664563
17	0.3451682214
18	0.3423781916
19	0.3377003124
20	0.337508191
21	0.3338226378
22	0.3310684054
23	0.3273327801
24	0.3254060731
25	0.3220950472
26	0.3180051908
27	0.315915038
28	0.3121318023
29	0.3075327365
30	0.3007818622
31	0.2995804914
32	0.2950093187
33	0.2895414728
34	0.2881967391
35	0.2854418407
36	0.2833582298
37	0.2817441489
38	0.2769909177
39	0.2740195393
40	0.2719670364
41	0.2673301086
42	0.2648963829
43	0.2626325842
44	0.2604203501
45	0.2575692534
46	0.2554268642
47	0.2527822294
48	0.2516000923
49	0.2489919568
50	0.2480978797
51	0.2472775127
52	0.2451570936
53	0.2440623367
54	0.2433590202
55	0.2423890248
56	0.2399637357
57	0.2383686962
58	0.2368185264
59	0.235239778
60	0.2331059819
61	0.2316567364
62	0.2309620576
63	0.2295227378
64	0.2286096124
65	0.227950833
66	0.2274188706
67	0.2255565024
68	0.2237305998
69	0.2224557185
70	0.2215935769
71	0.2210932601
72	0.2200215154
73	0.2185622552
74	0.2169449448
75	0.2166248843
76	0.2151377805
77	0.2143509794
78	0.2140716345
79	0.213698008
80	0.2123668411
81	0.2116090249
82	0.2107583997
83	0.2101876985
84	0.2100222401
85	0.2087820896
86	0.2071677584
87	0.2069442676
88	0.2062066566
89	0.2053786054
90	0.2044374715
91	0.2039830914
92	0.2036676158
93	0.2032504291
94	0.2024399052
95	0.2023215527
96	0.2020694345
97	0.2015099198
98	0.2013709844
99	0.2006540075
100	0.1992706601
101	0.198910188
102	0.1984267469
103	0.1970272255
104	0.1965066527
105	0.195932617
106	0.1954493754
107	0.1951764909
108	0.1945943958
109	0.1936927654
110	0.1931106466
111	0.1924088393
112	0.1913830472
113	0.1910337085
114	0.190139157
115	0.1898245785
116	0.1888086913
117	0.1883396572
118	0.1880886522
119	0.187901901
120	0.1877963397
121	0.187542991
122	0.1864191098
123	0.1856461891
124	0.1848409955
125	0.1845458685
126	0.1838783679
127	0.1835904517
128	0.1834307037
129	0.1832978641
130	0.1831100809
131	0.1828953736
132	0.1822276967
133	0.1821198762
134	0.1815473537
135	0.1812022149
136	0.1809437282
137	0.1806081332
138	0.1805099217
139	0.1800404774
140	0.1796531771
141	0.1791275021
142	0.1788318577
143	0.1783430578
144	0.1778898336
145	0.1777758886
146	0.1775903437
147	0.1774879044
148	0.1769698429
149	0.176384708
150	0.1763231757
151	0.1755314119
152	0.1750153589
153	0.1748159602
154	0.174406243
155	0.1742602647
156	0.1739723347
157	0.1739060134
158	0.1736191788
159	0.1733639717
160	0.1731582679
161	0.1728452302
162	0.1725829321
163	0.1723824086
164	0.1722993345
165	0.1719284976
166	0.1716856303
167	0.171618394
168	0.1715189689
169	0.1713874023
170	0.170903081
171	0.1706696097
172	0.1704969455
173	0.1702045133
174	0.1700517213
175	0.1694943377
176	0.1692819392
177	0.1691338504
178	0.1690728029
179	0.1689983892
180	0.1688604016
181	0.1687585991
182	0.1687047635
183	0.1685140492
184	0.1682208367
185	0.1678657753
186	0.1677039108
187	0.1672907276
188	0.1671349687
189	0.1667582808
190	0.1666682496
191	0.166567975
192	0.1663688516
193	0.1661869522
194	0.1658258816
195	0.1656040178
196	0.1653819437
197	0.1650368749
198	0.1649976202
199	0.1646606101
200	0.1646162866
201	0.1641813223
202	0.1640701864
203	0.1640152995
204	0.1639575031
205	0.1638185185
206	0.1636469427
207	0.1634024395
208	0.1631920377
209	0.1630599887
210	0.1629709007
211	0.1628406523
212	0.16278116
213	0.1626236122
214	0.1625889589
215	0.1624841898
216	0.162363847
217	0.1622650412
218	0.1621234605
219	0.1620381838
220	0.1618873565
221	0.1618320299
222	0.1616310244
223	0.161574655
224	0.1614294697
225	0.1612689595
226	0.1611712809
227	0.1609156247
228	0.1608274604
229	0.1607060002
230	0.1606125949
231	0.1604580164
232	0.1602090478
233	0.1600404512
234	0.1598521081
235	0.1597741024
236	0.1596831583
237	0.1596125081
238	0.1595502254
239	0.1594756062
240	0.1594412003
241	0.1591259122
242	0.1589440232
243	0.1589097324
244	0.1586999655
245	0.1586106889
246	0.1585670904
247	0.1585413532
248	0.1584635061
249	0.1584341281
250	0.1583725305
251	0.1582654955
252	0.1580692254
253	0.1580442761
254	0.1580214868
255	0.1578718058
256	0.1578107747
257	0.1577238607
258	0.1575365062
259	0.1575168595
260	0.15748898
261	0.1573335971
262	0.1572191793
263	0.1571394518
264	0.1570815413
265	0.156996233
266	0.156996233
267	0.156969456
268	0.1569242999
269	0.1568614799
270	0.1568122291
271	0.1567749463
272	0.1567039237
273	0.1566630404
274	0.1566400218
275	0.1566017445
276	0.1565478128
277	0.1565277472
278	0.1564605222
279	0.1564116889
280	0.156351591
281	0.1562915
282	0.1562713669
283	0.1562366287
284	0.1562258463
285	0.1561330623
286	0.1560074352
287	0.1559927742
288	0.1559126169
289	0.1558312898
290	0.1558178871
291	0.1558019779
292	0.1557879991
293	0.1556675318
294	0.1556132101
295	0.1555069091
296	0.1554786555
297	0.1554611105
298	0.1554146693
299	0.1554041613
300	0.1553396101
301	0.1551641216
302	0.1551089219
303	0.1550080388
304	0.1549755739
305	0.1549088213
306	0.1548281482
307	0.1544273359
308	0.1543294015
309	0.1541810427
310	0.1541616503
311	0.1541185757
312	0.154023443
313	0.1539935457
314	0.1539461629
315	0.1539324845
316	0.1538881292
317	0.1538243354
318	0.1537707902
319	0.1536063166
320	0.1535577097
321	0.1534483206
322	0.1534168345
323	0.1533769151
324	0.1533399163
325	0.1533049718
326	0.1532701439
327	0.1531793521
328	0.1531337591
329	0.1530919971
330	0.1530825064
331	0.1530427693
332	0.1530305888
333	0.1530173542
334	0.1529339043
335	0.1528715813
336	0.1528168757
337	0.1527865223
338	0.1527713907
339	0.1527315227
340	0.1527195193
341	0.1526412711
342	0.1526022155
343	0.1524015933
344	0.1523095326
345	0.1522846191
346	0.1522115532
347	0.1522026116
348	0.1521355561
349	0.1520096204
350	0.1519784118
351	0.1519600216
352	0.1519412888
353	0.1518409192
354	0.1517661281
355	0.1517127071
356	0.1516858925
357	0.1516006363
358	0.1515773371
359	0.1515372495
360	0.151472685
361	0.1514274267
362	0.1513795328
363	0.151336386
364	0.1513011949
365	0.1512365038
366	0.1512115637
367	0.1511804932
368	0.1511486373
369	0.1511183514
370	0.1510953681
371	0.1510679423
372	0.151022152
373	0.1510045591
374	0.1509470598
375	0.150873325
376	0.1508498738
377	0.1508010508
378	0.1507350005
379	0.1505312848
380	0.1504389097
381	0.1503979121
382	0.1502977185
383	0.1502486462
384	0.1501986229
385	0.1501716062
386	0.1501554128
387	0.1500870743
388	0.1500034827
389	0.1499691325
390	0.1499461185
391	0.1499090106
392	0.1498468083
393	0.1497819522
394	0.1497416162
395	0.1497156067
396	0.1496792281
397	0.1496722831
398	0.149663998
399	0.1496499229
400	0.1496092502
401	0.1495857212
402	0.1495365907
403	0.149529915
404	0.149525463
405	0.1495207408
406	0.149487754
407	0.1494410427
408	0.1493604932
409	0.1493326182
410	0.1493120758
411	0.1492802512
412	0.1491710252
413	0.1491424648
414	0.149130731
415	0.1491026447
416	0.1490838598
417	0.1490382612
418	0.1490075822
419	0.1489964648
420	0.1489534892
421	0.1489141725
422	0.1488608022
423	0.1488363073
424	0.1488234058
425	0.1487971428
426	0.1487186315
427	0.1486902533
428	0.1486342953
429	0.1485887383
430	0.1484578836
431	0.1483895406
432	0.1483664493
433	0.148338669
434	0.1482859563
435	0.1482495897
436	0.1482292357
437	0.1482055974
438	0.1481995411
439	0.1481173616
440	0.1480875744
441	0.1480718731
442	0.1480271382
443	0.1480037364
444	0.1479914632
445	0.1479537375
446	0.1479332537
447	0.1478982191
448	0.1478891355
449	0.1478678197
450	0.1478555827
451	0.1478500197
452	0.1478498125
453	0.1478329564
454	0.1478260476
455	0.1478091223
456	0.1477902447
