iter	Passed	Remaining
0	59	59255
1	63	31529
2	67	22345
3	69	17417
4	72	14516
5	74	12399
6	78	11109
7	79	9905
8	82	9099
9	85	8448
10	88	7913
11	90	7474
12	94	7162
13	97	6835
14	99	6543
15	101	6260
16	103	5991
17	106	5815
18	109	5673
19	112	5532
20	114	5328
21	116	5199
22	119	5085
23	123	5007
24	126	4925
25	129	4839
26	132	4758
27	134	4680
28	140	4687
29	143	4637
30	146	4578
31	148	4501
32	152	4464
33	155	4406
34	157	4348
35	160	4295
36	163	4244
37	166	4203
38	169	4172
39	172	4142
40	175	4102
41	178	4067
42	181	4048
43	185	4025
44	188	4008
45	192	3985
46	196	3977
47	200	3966
48	203	3945
49	206	3924
50	209	3901
51	212	3881
52	215	3858
53	221	3875
54	224	3865
55	228	3847
56	231	3830
57	234	3813
58	238	3797
59	241	3777
60	244	3757
61	247	3738
62	250	3721
63	253	3712
64	257	3697
65	260	3687
66	263	3667
67	266	3645
68	269	3631
69	272	3616
70	275	3598
71	277	3578
72	280	3559
73	283	3553
74	286	3537
75	289	3518
76	292	3500
77	294	3483
78	297	3470
79	300	3460
80	303	3445
81	306	3431
82	309	3421
83	312	3413
84	315	3397
85	318	3388
86	321	3375
87	324	3361
88	327	3350
89	330	3339
90	332	3326
91	335	3312
92	338	3299
93	341	3287
94	344	3280
95	346	3267
96	349	3255
97	352	3243
98	355	3231
99	358	3225
100	361	3220
101	364	3212
102	367	3202
103	370	3192
104	374	3188
105	377	3181
106	380	3173
107	384	3174
108	388	3178
109	391	3170
110	395	3164
111	399	3163
112	403	3164
113	405	3154
114	408	3145
115	411	3135
116	414	3130
117	417	3124
118	421	3118
119	424	3111
120	427	3105
121	436	3138
122	439	3132
123	442	3127
124	446	3126
125	450	3125
126	453	3119
127	456	3110
128	459	3101
129	462	3094
130	465	3086
131	467	3077
132	470	3067
133	473	3059
134	476	3054
135	479	3046
136	492	3100
137	494	3091
138	497	3082
139	500	3073
140	503	3064
141	505	3056
142	508	3048
143	511	3039
144	514	3030
145	516	3022
146	520	3017
147	523	3013
148	526	3006
149	529	3001
150	532	2993
151	535	2989
152	538	2983
153	542	2978
154	545	2973
155	548	2965
156	552	2967
157	555	2962
158	559	2960
159	562	2955
160	567	2957
161	570	2952
162	574	2949
163	577	2945
164	581	2943
165	584	2937
166	587	2932
167	591	2928
168	594	2923
169	597	2917
170	600	2911
171	603	2904
172	606	2897
173	612	2909
174	616	2905
175	619	2898
176	621	2890
177	625	2886
178	627	2880
179	630	2873
180	633	2865
181	636	2858
182	638	2851
183	641	2845
184	644	2838
185	646	2831
186	649	2824
187	652	2817
188	655	2811
189	657	2805
190	660	2798
191	663	2791
192	666	2784
193	668	2777
194	671	2771
195	674	2764
196	676	2758
197	679	2752
198	682	2745
199	684	2739
200	687	2732
201	690	2726
202	693	2720
203	695	2714
204	698	2709
205	701	2703
206	704	2697
207	706	2691
208	709	2684
209	712	2678
210	715	2673
211	718	2672
212	721	2667
213	725	2663
214	728	2660
215	732	2657
216	735	2653
217	738	2649
218	742	2646
219	747	2650
220	755	2663
221	761	2668
222	767	2674
223	771	2671
224	775	2670
225	781	2675
226	784	2672
227	788	2669
228	792	2667
229	795	2662
230	798	2658
231	801	2653
232	804	2649
233	808	2645
234	811	2640
235	820	2655
236	823	2650
237	826	2645
238	829	2640
239	832	2634
240	835	2632
241	838	2627
242	842	2623
243	845	2620
244	849	2616
245	851	2611
246	855	2608
247	859	2605
248	869	2621
249	890	2672
250	894	2668
251	898	2668
252	902	2664
253	905	2660
254	909	2656
255	922	2681
256	927	2680
257	930	2676
258	933	2672
259	937	2668
260	941	2666
261	944	2661
262	948	2656
263	951	2652
264	954	2648
265	958	2645
266	961	2640
267	964	2635
268	968	2631
269	971	2627
270	974	2622
271	977	2617
272	981	2612
273	985	2609
274	988	2606
275	991	2602
276	995	2597
277	1001	2599
278	1004	2596
279	1008	2593
280	1011	2587
281	1015	2584
282	1018	2580
283	1021	2574
284	1024	2569
285	1027	2564
286	1031	2561
287	1034	2556
288	1037	2552
289	1040	2548
290	1044	2545
291	1048	2541
292	1051	2537
293	1055	2534
294	1059	2532
295	1063	2528
296	1066	2525
297	1069	2520
298	1073	2517
299	1077	2513
300	1080	2509
301	1084	2506
302	1088	2503
303	1091	2500
304	1095	2496
305	1099	2493
306	1103	2491
307	1107	2487
308	1114	2492
309	1124	2503
310	1165	2582
311	1169	2578
312	1174	2577
313	1178	2574
314	1188	2585
315	1192	2580
316	1195	2576
317	1249	2679
318	1253	2675
319	1256	2670
320	1260	2665
321	1264	2663
322	1268	2658
